,,Daytime short errand,Morning commute,Nighttime entertainment district,Recreational,Social,Utilitarian
Trip distance (miles),mean,0.7787438562613701,0.6795751837217868,0.6662098775943963,0.7292718181029275,0.6725106653640897,0.7783343051557247
Trip duration (minutes),mean,17.752447233495268,13.069863099282196,15.065181093455113,17.044633309455012,16.548446781828773,16.39760563599091
Route directness ratio,mean,0.5394028099590356,0.6038030803971126,0.5709120173878438,0.4498718892381426,0.5401613587485842,0.6368329189993553
Average trip speed (mph),mean,2.95936438213359,3.624933765447858,2.9726905680451985,2.793271843702697,2.7395623424104594,3.117474786277984
Average daily temperature,mean,64.75758604511003,65.54887497419665,65.40523499178721,64.80528161666207,65.12531172941654,63.036451891820896
Proportion of CBD land use at origin,mean,0.8781303794569172,0.6461559531199358,0.6736869030277151,0.1467226742343572,0.8608241007198587,0.5470666983667029
Proportion of urban land use at origin,mean,0.016795580084201962,0.24782463147405506,0.2161520610778838,0.7481402532552298,0.03220141435289981,0.3367882156092039
Average population density at origin,mean,10320.303094533981,7475.3914519730515,8310.109468730476,5665.685256451237,10102.112260438107,4807.035305726573
Average employment density at origin,mean,108362.75788114073,59800.97131325948,80251.17099460863,13823.581214534455,107143.8218383686,37766.74363297758
Average parking density at origin,mean,19634.64584844373,9114.483337315125,13708.409896163254,345.2377367962727,19023.355381502224,5411.829511438936
Entropy at origin,mean,0.7732698369868601,0.629169373427262,0.669220186660446,0.5042235367855267,0.7572332223359224,0.5025566033180585
Proportion of CBD land use at destination,mean,0.7854490226994065,0.6959241473853353,0.6425525674247714,0.12839508347181827,0.8759471290965929,0.6598236542077441
Proportion of urban land use at destination,mean,0.10587727543666182,0.19834187167894304,0.24533408693268935,0.7654099496503347,0.018185012085774502,0.2245359183624141
Average population density at destination,mean,9369.857463977585,8021.848631718312,7909.034577308751,5698.697959095224,10179.759175694335,5649.135978287654
Average employment density at destination,mean,97265.96472244916,79262.92494380468,74195.28583789001,12182.663001677289,114081.3155497425,50728.076969189504
Average parking density at destination,mean,17524.376095429063,13712.362736107838,12265.57919888612,290.75711801386524,20515.835036639437,7854.991826984994
Entropy at destination,mean,0.7034303146766917,0.6611895605873293,0.6277032135026481,0.4545906880879482,0.7628779572685689,0.5576271464669733
Trips on special event,mean,0.13483801814929108,0.10487855226037295,0.1559311656275573,0.14144446763108115,0.14911270737289598,0.11060339072093864
Weekend trips,mean,0.02948210818625338,0.13687469896098534,0.2687908063841938,0.30212786009033815,0.594889269049872,0.159718497925947
Trip during 7 am and 10 am,mean,0.0,1.0,0.0,0.0,0.0,0.0008099204307901102
Trip during 10 am and 4 pm,mean,1.0,0.0,0.0,0.6209299038053758,0.2839895771667234,0.509926997712522
Trip during 4 pm and 8 pm,mean,0.0,0.0,0.0,0.3790700961946241,0.7160104228332766,0.48553635338798473
Trip during 8 pm and 7 am,mean,0.0,0.0,1.0,0.0,0.0,0.003726728468703142
Percentage_of_special_day_trip_inCluster,,24.777104886870216,5.341772506799002,18.564779768413377,14.727899739254774,22.421986710404575,14.166456388258053
Percentage_of_vanderbilt_trip_inCluster,,8.763983522383398,11.464047949083383,12.682298276097695,8.276878624001874,4.786122879287793,54.026668749145855
Percentage_of_park_trip_inCluster,,19.519096105075892,5.22729853514516,10.25776902986487,28.637533593247284,13.675763654945305,22.68253908172149
Percentage_of_trips,,24.955711439442474,6.917202048173389,16.16920371976312,14.141211255243945,20.421667077583276,17.395004459793793
Percentage_by_VMT,,26.80838129201143,6.484462390348697,14.859551567128737,14.225975106061329,18.945076844213006,18.676552800236795
Percentage_by_duration,,26.993325491216297,5.508453729933119,14.841957895237428,14.68596464992348,20.590961914636466,17.379336319053216
