,Cluster type,DB score,Silhoutte score,Unnamed: 0,cluster IDs,cluster number,trip_id
1,K-means,1.8654956442731017,0.20675159638484114,235888.0,1.0,2.0,386445.0
1,K-means,1.8130051107107683,0.18945725346058,1.0,0.0,3.0,10.0
1,K-means,1.5162165785390251,0.2309404227230313,1.0,2.0,4.0,10.0
1,K-means,1.6303328237012389,0.2274295518573347,1.0,3.0,5.0,10.0
1,K-means,1.645006509272607,0.21310024342888312,1.0,0.0,6.0,10.0
1,K-means,1.5740613012436704,0.22601055055118424,1.0,4.0,7.0,10.0
1,K-means,1.5688520364576028,0.231694109222943,1.0,1.0,8.0,10.0
1,K-means,1.5617030959247078,0.2147231335223922,235888.0,4.0,9.0,386445.0
1,K-means,1.5962219314532924,0.21147787536965607,1.0,3.0,10.0,10.0
1,K-means,1.552429404382946,0.21276699943243232,1.0,3.0,11.0,10.0
1,K-means,1.5275355703448747,0.2222985140549727,1.0,4.0,12.0,10.0
1,K-means,1.5759113592881062,0.2095979647289475,1.0,12.0,13.0,10.0
1,K-means,1.578898086166577,0.2081487941166794,1.0,1.0,14.0,10.0
1,K-means,1.5448550723187515,0.2118728420996852,1.0,10.0,15.0,10.0
1,K-means,1.509752158919386,0.22084731716982092,1.0,9.0,16.0,10.0
1,K-means,1.5081144093876977,0.20757778750463773,1.0,6.0,17.0,10.0
1,K-means,1.537646259332174,0.20340453076214826,235888.0,5.0,18.0,386445.0
1,K-means,1.5592974942081128,0.2085695758698882,1.0,9.0,19.0,10.0
1,K-means,1.5504131508636718,0.20218873943979584,1.0,13.0,20.0,10.0
1,K-means,1.4895327260255191,0.21240032547910945,1.0,10.0,21.0,10.0
1,K-means,1.4692001689737386,0.21419596301440133,1.0,10.0,22.0,10.0
1,K-means,1.480944323850628,0.2084887976143228,1.0,21.0,23.0,10.0
1,K-means,1.4589454244363456,0.2101397273124051,1.0,14.0,24.0,10.0
