,count,mean,std,min,25%,50%,75%,max,,,
Trip distance (miles),1050497,0.72,1.02,0,0.08,0.31,0.99,10,,,
Trip duration (minutes),1050497,16.41,17.81,1,5.82,10.82,20,180,,,
Route directness ratio,1050497,0.55,0.3,0,0.3,0.62,0.81,1,,,
Average trip speed (mph),1050497,2.97,2.97,0,0.46,2.14,4.95,304.29,,,
Trips on special event,1050497,0.14,0.34,0,0,0,0,1,142668,13.6,142668 (13.6%)
Weekend trips,1050497,0.25,0.43,0,0,0,1,1,265020,25.2,265020 (25.2%)
Trip during 7 am and 10 am,1050497,0.07,0.25,0,0,0,0,1,72813,6.9,72813 (6.9%)
Trip during 10 am and 4 pm,1050497,0.48,0.5,0,0,0,1,1,508505,48.4,508505 (48.4%)
Trip during 4 pm and 8 pm,1050497,0.28,0.45,0,0,0,1,1,298641,28.4,298641 (28.4%)
Trip during 8 pm and 7 am,1050497,0.16,0.37,0,0,0,0,1,170538,16.2,170538 (16.2%)
Average daily precipitation,1050497,0.14,0.35,0,0,0,0.07,4,,,
Average daily temperature,1050497,64.7,14.6,24,53,68,78,85,,,
Proportion of CBD land use at origin,1050497,0.66,0.33,0,0.44,0.87,0.9,0.9,,,
Proportion of urban land use at origin,1050497,0.23,0.33,0,0,0,0.46,0.9,,,
Proportion of sub-urban land use at origin,1050497,0,0.01,0,0,0,0,0.6,,,
Proportion of rural land use at origin,1050497,0,0,0,0,0,0,0,,,
Average population density at origin,1050497,8136.67,4665.11,0,5009.7,7471.16,11055.76,18555.69,,,
Average employment density at origin,1050497,74560.13,70044.96,24.54,14494.8,50332.81,137875.77,229577.11,,,
Average parking density at origin,1050497,12622.07,16216.54,0,254.9,2713,25670.51,53492.32,,,
Intersection density (per sq. miles) at origin,1050497,536.47,144.46,20.72,455.84,549.08,652.68,808.08,,,
Entropy at origin,1050497,0.66,0.25,0,0.59,0.75,0.83,0.93,,,
Proportion of CBD land use at destination,1050497,0.66,0.33,0,0.42,0.87,0.9,0.9,,,
Proportion of urban land use at destination,1050497,0.23,0.33,0,0,0,0.48,0.9,,,
Proportion of sub-urban land use at destination,1050497,0,0.01,0,0,0,0,0.6,,,
Proportion of rural land use at destination,1050497,0,0,0,0,0,0,0,,,
Average population density at destination,1050497,8039.44,4619.77,0,4978.78,7649.22,10581.71,18555.69,,,
Average employment density at destination,1050497,75597.21,70944.69,24.54,13524.36,50332.81,137875.77,229577.11,,,
Average parking density at destination,1050497,12902.26,16402.12,0,140.44,2713,25670.51,53492.32,,,
Intersection density (per sq. miles) at destination,1050497,535.63,145.5,20.72,455.84,549.08,652.68,808.08,,,
Entropy at destination,1050497,0.64,0.27,0,0.55,0.75,0.83,0.93,,,
